T U C_V $Q_{6}$ $P_{2}$
1.082808280828082836e-01 -7.198592858593829078e+02 1.216865499142842921e+01 4.105779264496903780e-01 8.138268376988024855e-01
1.083708370837083712e-01 -7.198581871585508907e+02 1.224453531314220989e+01 4.105776955879837931e-01 8.138239868796903753e-01
1.084608460846084588e-01 -7.198570816121907683e+02 1.232076276963876893e+01 4.105774636488374041e-01 8.138211156187117323e-01
1.085508550855085602e-01 -7.198559691890133081e+02 1.239733836451233628e+01 4.105772306325390364e-01 8.138182237910623895e-01
1.086408640864086478e-01 -7.198548498576392376e+02 1.247426305239540945e+01 4.105769965394424070e-01 8.138153112713206738e-01
1.087308730873087353e-01 -7.198537235865984485e+02 1.255153788213178068e+01 4.105767613699667917e-01 8.138123779334385244e-01
1.088208820882088229e-01 -7.198525903443310199e+02 1.262916389767728198e+01 4.105765251245996894e-01 8.138094236507467105e-01
1.089108910891089105e-01 -7.198514500991884688e+02 1.270714197618682917e+01 4.105762878038964336e-01 8.138064482959516122e-01
1.090009000900090119e-01 -7.198503028194296576e+02 1.278547319681259964e+01 4.105760494084803036e-01 8.138034517411326663e-01
1.090909090909090995e-01 -7.198491484732227264e+02 1.286415862871055715e+01 4.105758099390447446e-01 8.138004338577410346e-01
1.091809180918091871e-01 -7.198479870286479354e+02 1.294319913578815928e+01 4.105755693963530906e-01 8.137973945166017131e-01
1.092709270927092746e-01 -7.198468184536916397e+02 1.302259583175095869e+01 4.105753277812393409e-01 8.137943335879079809e-01
1.093609360936093622e-01 -7.198456427162494720e+02 1.310234974708408018e+01 4.105750850946079389e-01 8.137912509412211781e-01
1.094509450945094498e-01 -7.198444597841280483e+02 1.318246181028551156e+01 4.105748413374377126e-01 8.137881464454744807e-01
1.095409540954095512e-01 -7.198432696250409890e+02 1.326293307183373571e+01 4.105745965107789330e-01 8.137850199689635744e-01
1.096309630963096388e-01 -7.198420722066110784e+02 1.334376454819840951e+01 4.105743506157559786e-01 8.137818713793537606e-01
1.097209720972097263e-01 -7.198408674963683325e+02 1.342495731397103143e+01 4.105741036535673905e-01 8.137787005436715182e-01
1.098109810981098139e-01 -7.198396554617527272e+02 1.350651231794428853e+01 4.105738556254870941e-01 8.137755073283087226e-01
1.099009900990099015e-01 -7.198384360701110154e+02 1.358843060581173567e+01 4.105736065328646212e-01 8.137722915990207584e-01
1.099909990999100029e-01 -7.198372092886992277e+02 1.367071318945630942e+01 4.105733563771266637e-01 8.137690532209240768e-01
1.100810081008100905e-01 -7.198359750846798306e+02 1.375336110485438468e+01 4.105731051597764081e-01 8.137657920584949744e-01
1.101710171017101780e-01 -7.198347334251236589e+02 1.383637538788734389e+01 4.105728528823957002e-01 8.137625079755721469e-01
1.102610261026102656e-01 -7.198334842770093474e+02 1.391975703602615155e+01 4.105725995466450451e-01 8.137592008353514705e-01
1.103510351035103532e-01 -7.198322276072213981e+02 1.400350714247056239e+01 4.105723451542639957e-01 8.137558705003870019e-01
1.104410441044104407e-01 -7.198309633825543870e+02 1.408762662811249022e+01 4.105720897070735953e-01 8.137525168325931979e-01
1.105310531053105422e-01 -7.198296915697070517e+02 1.417211661931457733e+01 4.105718332069744902e-01 8.137491396932381438e-01
1.106210621062106297e-01 -7.198284121352859302e+02 1.425697815606896945e+01 4.105715756559497054e-01 8.137457389429489929e-01
1.107110711071107173e-01 -7.198271250458050190e+02 1.434221226866760723e+01 4.105713170560650327e-01 8.137423144417060827e-01
1.108010801080108049e-01 -7.198258302676847507e+02 1.442781994457857841e+01 4.105710574094690868e-01 8.137388660488457104e-01
1.108910891089108924e-01 -7.198245277672519933e+02 1.451380222345097515e+01 4.105707967183947482e-01 8.137353936230602436e-01
1.109810981098109939e-01 -7.198232175107388002e+02 1.460016020613060483e+01 4.105705349851593855e-01 8.137318970223926806e-01
1.110711071107110814e-01 -7.198218994642850248e+02 1.468689486542194800e+01 4.105702722121657988e-01 8.137283761042420904e-01
1.111611161116111690e-01 -7.198205735939355918e+02 1.477400731090249764e+01 4.105700084019036078e-01 8.137248307253598378e-01
1.112511251125112566e-01 -7.198192398656411797e+02 1.486149855735885517e+01 4.105697435569486409e-01 8.137212607418486954e-01
1.113411341134113441e-01 -7.198178982452586752e+02 1.494936968518044473e+01 4.105694776799648227e-01 8.137176660091652858e-01
1.114311431143114317e-01 -7.198165486985500365e+02 1.503762173668546787e+01 4.105692107737046181e-01 8.137140463821166403e-01
1.115211521152115193e-01 -7.198151911911835441e+02 1.512625570237333328e+01 4.105689428410095876e-01 8.137104017148627522e-01
1.116111611161116207e-01 -7.198138256887305033e+02 1.521527273159887272e+01 4.105686738848111084e-01 8.137067318609126909e-01
1.117011701170117083e-01 -7.198124521566709291e+02 1.530467375806873243e+01 4.105684039081320957e-01 8.137030366731300424e-01
1.117911791179117958e-01 -7.198110705603855877e+02 1.539445995800987355e+01 4.105681329140852820e-01 8.136993160037264694e-01
1.118811881188118834e-01 -7.198096808651638412e+02 1.548463233434475761e+01 4.105678609058776019e-01 8.136955697042668190e-01
1.119711971197119710e-01 -7.198082830361964852e+02 1.557519195020204705e+01 4.105675878868077500e-01 8.136917976256639040e-01
1.120612061206120724e-01 -7.198068770385810922e+02 1.566613986352729704e+01 4.105673138602685124e-01 8.136879996181842767e-01
1.121512151215121600e-01 -7.198054628373174637e+02 1.575747716413305710e+01 4.105670388297464335e-01 8.136841755314424551e-01
1.122412241224122476e-01 -7.198040403973112689e+02 1.584920494108730793e+01 4.105667627988243695e-01 8.136803252144063636e-01
1.123312331233123351e-01 -7.198026096833722249e+02 1.594132415354274990e+01 4.105664857711808224e-01 8.136764485153947790e-01
1.124212421242124227e-01 -7.198011706602122786e+02 1.603383596336359673e+01 4.105662077505907170e-01 8.136725452820757765e-01
1.125112511251125103e-01 -7.197997232924477657e+02 1.612674144380542884e+01 4.105659287409264002e-01 8.136686153614700601e-01
1.126012601260126117e-01 -7.197982675445996392e+02 1.622004162611687761e+01 4.105656487461588067e-01 8.136646585999509629e-01
1.126912691269126993e-01 -7.197968033810906263e+02 1.631373758694835985e+01 4.105653677703577364e-01 8.136606748432418934e-01
1.127812781278127868e-01 -7.197953307662475027e+02 1.640783044340045294e+01 4.105650858176924101e-01 8.136566639364205544e-01
1.128712871287128744e-01 -7.197938496642992732e+02 1.650232125674057571e+01 4.105648028924324677e-01 8.136526257239159454e-01
1.129612961296129620e-01 -7.197923600393795596e+02 1.659721106932658685e+01 4.105645189989493571e-01 8.136485600495114712e-01
1.130513051305130634e-01 -7.197908618555225075e+02 1.669250100949450655e+01 4.105642341417158891e-01 8.136444667563439426e-01
1.131413141314131510e-01 -7.197893550766661974e+02 1.678819212716480891e+01 4.105639483253074040e-01 8.136403456869043538e-01
1.132313231323132385e-01 -7.197878396666504841e+02 1.688428554426815253e+01 4.105636615544030477e-01 8.136361966830377712e-01
1.133213321332133261e-01 -7.197863155892177929e+02 1.698078232724487435e+01 4.105633738337857164e-01 8.136320195859482185e-01
1.134113411341134137e-01 -7.197847828080130057e+02 1.707768354630265506e+01 4.105630851683438887e-01 8.136278142361927923e-01
1.135013501350135012e-01 -7.197832412865814149e+02 1.717499032959322491e+01 4.105627955630704595e-01 8.136235804736867694e-01
1.135913591359135888e-01 -7.197816909883721337e+02 1.727270374544943010e+01 4.105625050230659046e-01 8.136193181377054939e-01
1.136813681368136902e-01 -7.197801318767337762e+02 1.737082488842116490e+01 4.105622135535365036e-01 8.136150270668794926e-01
1.137713771377137778e-01 -7.197785639149182089e+02 1.746935487006086163e+01 4.105619211597973384e-01 8.136107070992028012e-01
1.138613861386138654e-01 -7.197769870660772540e+02 1.756829477836719278e+01 4.105616278472712377e-01 8.136063580720277466e-01
1.139513951395139529e-01 -7.197754012932638261e+02 1.766764573623248324e+01 4.105613336214907205e-01 8.136019798220701649e-01
1.140414041404140405e-01 -7.197738065594335239e+02 1.776740877583593914e+01 4.105610384880979402e-01 8.135975721854098452e-01
1.141314131413141419e-01 -7.197722028274411059e+02 1.786758504936818071e+01 4.105607424528456839e-01 8.135931349974885318e-01
1.142214221422142295e-01 -7.197705900600411724e+02 1.796817570314989965e+01 4.105604455215981496e-01 8.135886680931151416e-01
1.143114311431143171e-01 -7.197689682198908940e+02 1.806918176630077610e+01 4.105601477003314459e-01 8.135841713064646541e-01
1.144014401440144046e-01 -7.197673372695466014e+02 1.817060438291770197e+01 4.105598489951347019e-01 8.135796444710806652e-01
1.144914491449144922e-01 -7.197656971714644669e+02 1.827244468682387790e+01 4.105595494122099010e-01 8.135750874198772742e-01
1.145814581458145798e-01 -7.197640478880015280e+02 1.837470377060052940e+01 4.105592489578739346e-01 8.135704999851378627e-01
1.146714671467146812e-01 -7.197623893814139819e+02 1.847738271688265854e+01 4.105589476385574921e-01 8.135658819985194246e-01
1.147614761476147688e-01 -7.197607216138578679e+02 1.858048265145940547e+01 4.105586454608077807e-01 8.135612332910530098e-01
1.148514851485148563e-01 -7.197590445473881573e+02 1.868400477822446248e+01 4.105583424312874152e-01 8.135565536931467223e-01
1.149414941494149439e-01 -7.197573581439603458e+02 1.878795007895532265e+01 4.105580385567759727e-01 8.135518430345838325e-01
1.150315031503150315e-01 -7.197556623654280656e+02 1.889231976372621347e+01 4.105577338441711022e-01 8.135471011445297718e-01
1.151215121512151329e-01 -7.197539571735438813e+02 1.899711492653198874e+01 4.105574283004878589e-01 8.135423278515281353e-01
1.152115211521152205e-01 -7.197522425299600854e+02 1.910233669966152092e+01 4.105571219328603139e-01 8.135375229835092314e-01
1.153015301530153081e-01 -7.197505183962265392e+02 1.920798622273710521e+01 4.105568147485427755e-01 8.135326863677863063e-01
1.153915391539153956e-01 -7.197487847337921494e+02 1.931406462515743172e+01 4.105565067549082903e-01 8.135278178310583197e-01
1.154815481548154832e-01 -7.197470415040039597e+02 1.942057302616341019e+01 4.105561979594516964e-01 8.135229171994168285e-01
1.155715571557155708e-01 -7.197452886681079463e+02 1.952751253926142283e+01 4.105558883697894013e-01 8.135179842983435439e-01
1.156615661566156583e-01 -7.197435261872473120e+02 1.963488432881911905e+01 4.105555779936589378e-01 8.135130189527127742e-01
1.157515751575157598e-01 -7.197417540224629420e+02 1.974268950539176615e+01 4.105552668389215731e-01 8.135080209867959766e-01
1.158415841584158473e-01 -7.197399721346940851e+02 1.985092921721617287e+01 4.105549549135606990e-01 8.135029902242622013e-01
1.159315931593159349e-01 -7.197381804847766489e+02 1.995960461958861387e+01 4.105546422256844408e-01 8.134979264881813110e-01
1.160216021602160225e-01 -7.197363790334453597e+02 2.006871683587878863e+01 4.105543287835252686e-01 8.134928296010278670e-01
1.161116111611161239e-01 -7.197345677413300109e+02 2.017826702252529003e+01 4.105540145954405529e-01 8.134876993846793525e-01
1.162016201620162115e-01 -7.197327465689589872e+02 2.028825634290144464e+01 4.105536996699138963e-01 8.134825356604233892e-01
1.162916291629162990e-01 -7.197309154767575592e+02 2.039868588546967487e+01 4.105533840155543013e-01 8.134773382489601801e-01
1.163816381638163866e-01 -7.197290744250475427e+02 2.050955679327037018e+01 4.105530676410985014e-01 8.134721069704017316e-01
1.164716471647164742e-01 -7.197272233740459342e+02 2.062087031926785485e+01 4.105527505554099066e-01 8.134668416442758510e-01
1.165616561656165617e-01 -7.197253622838679803e+02 2.073262749988977660e+01 4.105524327674804907e-01 8.134615420895323634e-01
1.166516651665166493e-01 -7.197234911145243359e+02 2.084482955449744068e+01 4.105521142864306805e-01 8.134562081245428899e-01
1.167416741674167507e-01 -7.197216098259212913e+02 2.095747761489134575e+01 4.105517951215092998e-01 8.134508395671034009e-01
1.168316831683168383e-01 -7.197197183778620229e+02 2.107057288375419901e+01 4.105514752820961788e-01 8.134454362344413214e-01
1.169216921692169259e-01 -7.197178167300447740e+02 2.118411643823109358e+01 4.105511547776998782e-01 8.134399979432127559e-01
1.170117011701170134e-01 -7.197159048420633098e+02 2.129810948170718987e+01 4.105508336179604645e-01 8.134345245095113697e-01
1.171017101710171149e-01 -7.197139826734065764e+02 2.141255323670587885e+01 4.105505118126491215e-01 8.134290157488680562e-01
1.171917191719172024e-01 -7.197120501834602919e+02 2.152744877095954479e+01 4.105501893716684281e-01 8.134234714762558216e-01
1.172817281728172900e-01 -7.197101073315031954e+02 2.164279729480474401e+01 4.105498663050535790e-01 8.134178915060937820e-01
1.173717371737173776e-01 -7.197081540767103434e+02 2.175859997839045334e+01 4.105495426229718858e-01 8.134122756522489395e-01
1.174617461746174651e-01 -7.197061903781506089e+02 2.187485799415953380e+01 4.105492183357242753e-01 8.134066237280395129e-01
1.175517551755175527e-01 -7.197042161947888417e+02 2.199157250418046772e+01 4.105488934537449563e-01 8.134009355462442636e-01
1.176417641764176403e-01 -7.197022314854823435e+02 2.210874466862474108e+01 4.105485679876021976e-01 8.133952109190963897e-01
1.177317731773177417e-01 -7.197002362089851886e+02 2.222637567096447597e+01 4.105482419479996592e-01 8.133894496582977363e-01
1.178217821782178293e-01 -7.196982303239427665e+02 2.234446671358793779e+01 4.105479153457744501e-01 8.133836515750133556e-01
1.179117911791179169e-01 -7.196962137888970119e+02 2.246301895065511189e+01 4.105475881919001258e-01 8.133778164798834975e-01
1.180018001800180044e-01 -7.196941865622819705e+02 2.258203355115530186e+01 4.105472604974859108e-01 8.133719441830211672e-01
1.180918091809180920e-01 -7.196921486024253909e+02 2.270151176973682183e+01 4.105469322737763105e-01 8.133660344940202291e-01
1.181818181818181934e-01 -7.196900998675499750e+02 2.282145470015693078e+01 4.105466035321537754e-01 8.133600872219596267e-01
1.182718271827182810e-01 -7.196880403157706496e+02 2.294186356361342760e+01 4.105462742841368695e-01 8.133541021754044920e-01
1.183618361836183686e-01 -7.196859699050953623e+02 2.306273955403323939e+01 4.105459445413814912e-01 8.133480791624141393e-01
1.184518451845184561e-01 -7.196838885934250811e+02 2.318408388389957153e+01 4.105456143156809845e-01 8.133420179905430647e-01
1.185418541854185437e-01 -7.196817963385545909e+02 2.330589770125218507e+01 4.105452836189678045e-01 8.133359184668484954e-01
1.186318631863186313e-01 -7.196796930981709011e+02 2.342818217288164462e+01 4.105449524633114078e-01 8.133297803978930540e-01
1.187218721872187188e-01 -7.196775788298529051e+02 2.355093858328683254e+01 4.105446208609206948e-01 8.133236035897503102e-01
1.188118811881188203e-01 -7.196754534910727443e+02 2.367416805749921949e+01 4.105442888241432886e-01 8.133173878480084440e-01
1.189018901890189078e-01 -7.196733170391935346e+02 2.379787184224492691e+01 4.105439563654658119e-01 8.133111329777750198e-01
1.189918991899189954e-01 -7.196711694314727765e+02 2.392205106246379742e+01 4.105436234975152754e-01 8.133048387836844251e-01
1.190819081908190830e-01 -7.196690106250572398e+02 2.404670703417770383e+01 4.105432902330569123e-01 8.132985050698995355e-01
1.191719171917191844e-01 -7.196668405769883066e+02 2.417184084088237839e+01 4.105429565849982865e-01 8.132921316401190426e-01
1.192619261926192720e-01 -7.196646592441961729e+02 2.429745375680237629e+01 4.105426225663849071e-01 8.132857182975794519e-01
1.193519351935193595e-01 -7.196624665835041696e+02 2.442354697166448219e+01 4.105422881904042254e-01 8.132792648450634099e-01
1.194419441944194471e-01 -7.196602625516263743e+02 2.455012170964146279e+01 4.105419534703837470e-01 8.132727710849051439e-01
1.195319531953195347e-01 -7.196580471051685208e+02 2.467717916797056077e+01 4.105416184197924756e-01 8.132662368189929047e-01
1.196219621962196222e-01 -7.196558202006269767e+02 2.480472054561672479e+01 4.105412830522401912e-01 8.132596618487756279e-01
1.197119711971197098e-01 -7.196535817943896518e+02 2.493274704324611335e+01 4.105409473814778942e-01 8.132530459752692620e-01
1.198019801980198112e-01 -7.196513318427332706e+02 2.506125991997777192e+01 4.105406114213975832e-01 8.132463889990608763e-01
1.198919891989198988e-01 -7.196490703018278055e+02 2.519026036334792096e+01 4.105402751860337540e-01 8.132396907203166547e-01
1.199819981998199864e-01 -7.196467971277314746e+02 2.531974961922174572e+01 4.105399386895617897e-01 8.132329509387837829e-01
1.200720072007200739e-01 -7.196445122763940390e+02 2.544972887829712249e+01 4.105396019462991264e-01 8.132261694537992192e-01
1.201620162016201754e-01 -7.196422157036552107e+02 2.558019936116112447e+01 4.105392649707051977e-01 8.132193460642954674e-01
1.202520252025202629e-01 -7.196399073652437437e+02 2.571116231805308772e+01 4.105389277773809353e-01 8.132124805688031310e-01
1.203420342034203505e-01 -7.196375872167793659e+02 2.584261894824411243e+01 4.105385903810699344e-01 8.132055727654626809e-01
1.204320432043204381e-01 -7.196352552137713019e+02 2.597457044454965569e+01 4.105382527966568995e-01 8.131986224520227902e-01
