T U C_V $Q_{6}$ $P_{2}$ $n_{Q_{6}}$
1.033303330333033287e-01 -7.198630439616244985e+02 1.253957696065931771e+01 3.375636408382605702e-01 7.558615428066118858e-01 2.727076940171113684e-02
1.034203420342034302e-01 -7.198619116840231982e+02 1.261968773851953074e+01 3.375630857249395933e-01 7.558600615377729648e-01 2.727224660298511669e-02
1.035103510351035178e-01 -7.198607721804947914e+02 1.270013718704244354e+01 3.375625273667409165e-01 7.558585690737652518e-01 2.727373256485430761e-02
1.036003600360036053e-01 -7.198596254205235709e+02 1.278092599880945457e+01 3.375619657550773534e-01 7.558570653304664821e-01 2.727522730797740658e-02
1.036903690369036929e-01 -7.198584713735375544e+02 1.286205477191110091e+01 3.375614008814264433e-01 7.558555502228933021e-01 2.727673085270479122e-02
1.037803780378037805e-01 -7.198573100089047330e+02 1.294352419991073866e+01 3.375608327373328388e-01 7.558540236651881683e-01 2.727824321907285424e-02
1.038703870387038819e-01 -7.198561412959362542e+02 1.302533493073691950e+01 3.375602613144081388e-01 7.558524855706116874e-01 2.727976442679820243e-02
1.039603960396039695e-01 -7.198549652038826707e+02 1.310748758861085150e+01 3.375596866043316102e-01 7.558509358515256293e-01 2.728129449527252892e-02
1.040504050405040570e-01 -7.198537817019351905e+02 1.318998288714633027e+01 3.375591085988521867e-01 7.558493744193861552e-01 2.728283344355698914e-02
1.041404140414041446e-01 -7.198525907592257909e+02 1.327282139241473224e+01 3.375585272897885236e-01 7.558478011847288291e-01 2.728438129037599399e-02
1.042304230423042322e-01 -7.198513923448239211e+02 1.335600391533151843e+01 3.375579426690303864e-01 7.558462160571564059e-01 2.728593805411252612e-02
1.043204320432043197e-01 -7.198501864277396862e+02 1.343953112978445752e+01 3.375573547285394271e-01 7.558446189453290609e-01 2.728750375280119059e-02
1.044104410441044212e-01 -7.198489729769215728e+02 1.352340364321449684e+01 3.375567634603509060e-01 7.558430097569497352e-01 2.728907840412358315e-02
1.045004500450045087e-01 -7.198477519612554261e+02 1.360762217307460453e+01 3.375561688565734131e-01 7.558413883987535886e-01 2.729066202540153876e-02
1.045904590459045963e-01 -7.198465233495638813e+02 1.369218745009578875e+01 3.375555709093902568e-01 7.558397547764916791e-01 2.729225463359164633e-02
1.046804680468046839e-01 -7.198452871106082966e+02 1.377710012254841487e+01 3.375549696110619613e-01 7.558381087949250787e-01 2.729385624527937843e-02
1.047704770477047714e-01 -7.198440432130850013e+02 1.386236092662799635e+01 3.375543649539248237e-01 7.558364503578038907e-01 2.729546687667291568e-02
1.048604860486048729e-01 -7.198427916256254093e+02 1.394797063275458271e+01 3.375537569303938557e-01 7.558347793678616977e-01 2.729708654359722445e-02
1.049504950495049604e-01 -7.198415323167982933e+02 1.403392988144631737e+01 3.375531455329628394e-01 7.558330957267975769e-01 2.729871526148784991e-02
1.050405040504050480e-01 -7.198402652551046685e+02 1.412023943237092105e+01 3.375525307542054931e-01 7.558313993352642202e-01 2.730035304538510482e-02
1.051305130513051356e-01 -7.198389904089813172e+02 1.420690001058795637e+01 3.375519125867770254e-01 7.558296900928563877e-01 2.730199990992712711e-02
1.052205220522052231e-01 -7.198377077467970366e+02 1.429391241724113470e+01 3.375512910234147457e-01 7.558279678980945882e-01 2.730365586934445365e-02
1.053105310531053107e-01 -7.198364172368533218e+02 1.438127735044814415e+01 3.375506660569383977e-01 7.558262326484135318e-01 2.730532093745350816e-02
1.054005400540054121e-01 -7.198351188473849334e+02 1.446899556335507242e+01 3.375500376802534341e-01 7.558244842401483643e-01 2.730699512765000919e-02
1.054905490549054997e-01 -7.198338125465571693e+02 1.455706788457942125e+01 3.375494058863494629e-01 7.558227225685210104e-01 2.730867845290266618e-02
1.055805580558055873e-01 -7.198324983024652965e+02 1.464549505046146471e+01 3.375487706683029110e-01 7.558209475276229661e-01 2.731037092574711833e-02
1.056705670567056748e-01 -7.198311760831362562e+02 1.473427778924291331e+01 3.375481320192778023e-01 7.558191590104074153e-01 2.731207255827900610e-02
1.057605760576057624e-01 -7.198298458565247984e+02 1.482341697724342744e+01 3.375474899325265343e-01 7.558173569086688026e-01 2.731378336214723007e-02
1.058505850585058500e-01 -7.198285075905142776e+02 1.491291339861701815e+01 3.375468444013914882e-01 7.558155411130331736e-01 2.731550334854852130e-02
1.059405940594059514e-01 -7.198271612529171080e+02 1.500276778761228691e+01 3.375461954193055836e-01 7.558137115129416328e-01 2.731723252821956563e-02
1.060306030603060390e-01 -7.198258068114714661e+02 1.509298101019609817e+01 3.375455429797936668e-01 7.558118679966351339e-01 2.731897091143064074e-02
1.061206120612061266e-01 -7.198244442338422004e+02 1.518355390786550707e+01 3.375448870764743425e-01 7.558100104511421558e-01 2.732071850797903809e-02
1.062106210621062141e-01 -7.198230734876194674e+02 1.527448728236280928e+01 3.375442277030590854e-01 7.558081387622620495e-01 2.732247532718275196e-02
1.063006300630063017e-01 -7.198216945403181626e+02 1.536578200932635774e+01 3.375435648533556821e-01 7.558062528145502723e-01 2.732424137787252405e-02
1.063906390639063893e-01 -7.198203073593771251e+02 1.545743892966193123e+01 3.375428985212680089e-01 7.558043524913041766e-01 2.732601666838628540e-02
1.064806480648064907e-01 -7.198189119121583417e+02 1.554945886522506271e+01 3.375422287007978639e-01 7.558024376745479112e-01 2.732780120656117320e-02
1.065706570657065783e-01 -7.198175081659455827e+02 1.564184271634738010e+01 3.375415553860455220e-01 7.558005082450162115e-01 2.732959499972681741e-02
1.066606660666066658e-01 -7.198160960879445156e+02 1.573459134348376764e+01 3.375408785712114001e-01 7.557985640821399675e-01 2.733139805469895697e-02
1.067506750675067534e-01 -7.198146756452802038e+02 1.582770565947713948e+01 3.375401982505971121e-01 7.557966050640302358e-01 2.733321037777140111e-02
1.068406840684068410e-01 -7.198132468049980162e+02 1.592118657301324269e+01 3.375395144186065233e-01 7.557946310674631407e-01 2.733503197470993698e-02
1.069306930693069424e-01 -7.198118095340620357e+02 1.601503497846134394e+01 3.375388270697470827e-01 7.557926419678627772e-01 2.733686285074397870e-02
1.070207020702070300e-01 -7.198103637993536950e+02 1.610925175598174164e+01 3.375381361986312667e-01 7.557906376392874437e-01 2.733870301056070401e-02
1.071107110711071175e-01 -7.198089095676713214e+02 1.620383787310402823e+01 3.375374417999770782e-01 7.557886179544131000e-01 2.734055245829661307e-02
1.072007200720072051e-01 -7.198074468057282047e+02 1.629879429787538214e+01 3.375367438686102117e-01 7.557865827845148265e-01 2.734241119753115165e-02
1.072907290729072927e-01 -7.198059754801546433e+02 1.639412191288095499e+01 3.375360423994648862e-01 7.557845319994551669e-01 2.734427923127824220e-02
1.073807380738073802e-01 -7.198044955574919186e+02 1.648982175825482344e+01 3.375353373875844554e-01 7.557824654676639220e-01 2.734615656198050027e-02
1.074707470747074817e-01 -7.198030070041967292e+02 1.658589473804945058e+01 3.375346288281238505e-01 7.557803830561231617e-01 2.734804319150045682e-02
1.075607560756075692e-01 -7.198015097866360748e+02 1.668234188298235665e+01 3.375339167163502463e-01 7.557782846303521262e-01 2.734993912111349443e-02
1.076507650765076568e-01 -7.198000038710874833e+02 1.677916419365801559e+01 3.375332010476440048e-01 7.557761700543871308e-01 2.735184435150064819e-02
1.077407740774077444e-01 -7.197984892237398071e+02 1.687636260068965655e+01 3.375324818175008401e-01 7.557740391907694644e-01 2.735375888274041087e-02
1.078307830783078319e-01 -7.197969658106886754e+02 1.697393829066212589e+01 3.375317590215323182e-01 7.557718919005240732e-01 2.735568271430148524e-02
1.079207920792079334e-01 -7.197954335979387679e+02 1.707189216923142538e+01 3.375310326554675222e-01 7.557697280431459053e-01 2.735761584503532476e-02
1.080108010801080209e-01 -7.197938925514018820e+02 1.717022520771491756e+01 3.375303027151547730e-01 7.557675474765818135e-01 2.735955827316807754e-02
1.081008100810081085e-01 -7.197923426368919309e+02 1.726893866169911362e+01 3.375295691965615741e-01 7.557653500572109051e-01 2.736150999629291536e-02
1.081908190819081961e-01 -7.197907838201313098e+02 1.736803344706466490e+01 3.375288320957781640e-01 7.557631356398339939e-01 2.736347101136265766e-02
1.082808280828082836e-01 -7.197892160667427106e+02 1.746751068888852032e+01 3.375280914090169060e-01 7.557609040776478437e-01 2.736544131468093485e-02
1.083708370837083712e-01 -7.197876393422512820e+02 1.756737151153100385e+01 3.375273471326143415e-01 7.557586552222331777e-01 2.736742090189586002e-02
1.084608460846084588e-01 -7.197860536120838333e+02 1.766761699904185079e+01 3.375265992630331335e-01 7.557563889235366927e-01 2.736940976799020694e-02
1.085508550855085602e-01 -7.197844588415664475e+02 1.776824824487735199e+01 3.375258477968625659e-01 7.557541050298519636e-01 2.737140790727576878e-02
1.086408640864086478e-01 -7.197828549959230031e+02 1.786926649975758252e+01 3.375250927308207083e-01 7.557518033878015684e-01 2.737341531338253336e-02
1.087308730873087353e-01 -7.197812420402755151e+02 1.797067278631667619e+01 3.375243340617553600e-01 7.557494838423213235e-01 2.737543197925370458e-02
1.088208820882088229e-01 -7.197796199396418615e+02 1.807246828928525417e+01 3.375235717866456597e-01 7.557471462366398551e-01 2.737745789713565137e-02
1.089108910891089105e-01 -7.197779886589340776e+02 1.817465419710559971e+01 3.375228059026032512e-01 7.557447904122625015e-01 2.737949305856958102e-02
1.090009000900090119e-01 -7.197763481629576745e+02 1.827723177047284508e+01 3.375220364068743373e-01 7.557424162089523278e-01 2.738153745438525952e-02
1.090909090909090995e-01 -7.197746984164116384e+02 1.838020209227882518e+01 3.375212632968409565e-01 7.557400234647124737e-01 2.738359107469102993e-02
1.091809180918091871e-01 -7.197730393838842247e+02 1.848356646458306685e+01 3.375204865700217050e-01 7.557376120157668353e-01 2.738565390886630799e-02
1.092709270927092746e-01 -7.197713710298545493e+02 1.858732608992125179e+01 3.375197062240745116e-01 7.557351816965440783e-01 2.738772594555334561e-02
1.093609360936093622e-01 -7.197696933186895194e+02 1.869148217431201786e+01 3.375189222567971936e-01 7.557327323396553220e-01 2.738980717264954956e-02
1.094509450945094498e-01 -7.197680062146423552e+02 1.879603612156947889e+01 3.375181346661292325e-01 7.557302637758798181e-01 2.739189757729710781e-02
1.095409540954095512e-01 -7.197663096818532722e+02 1.890098909507653957e+01 3.375173434501534953e-01 7.557277758341437446e-01 2.739399714587758758e-02
1.096309630963096388e-01 -7.197646036843464117e+02 1.900634237327749432e+01 3.375165486070979548e-01 7.557252683415036643e-01 2.739610586400053477e-02
1.097209720972097263e-01 -7.197628881860282490e+02 1.911209730036836163e+01 3.375157501353365785e-01 7.557227411231242087e-01 2.739822371649743016e-02
1.098109810981098139e-01 -7.197611631506864569e+02 1.921825524229685911e+01 3.375149480333911045e-01 7.557201940022637565e-01 2.740035068741229068e-02
1.099009900990099015e-01 -7.197594285419900189e+02 1.932481749018185724e+01 3.375141422999340390e-01 7.557176268002521180e-01 2.740248675999288133e-02
1.099909990999100029e-01 -7.197576843234860462e+02 1.943178538600195182e+01 3.375133329337873800e-01 7.557150393364731045e-01 2.740463191668284990e-02
1.100810081008100905e-01 -7.197559304585981863e+02 1.953916036059031569e+01 3.375125199339273907e-01 7.557124314283462096e-01 2.740678613911278622e-02
1.101710171017101780e-01 -7.197541669106269637e+02 1.964694374586165893e+01 3.375117032994838784e-01 7.557098028913055154e-01 2.740894940809129182e-02
1.102610261026102656e-01 -7.197523936427471654e+02 1.975513696711236378e+01 3.375108830297435802e-01 7.557071535387832606e-01 2.741112170359761777e-02
1.103510351035103532e-01 -7.197506106180054530e+02 1.986374146098151883e+01 3.375100591241500525e-01 7.557044831821875253e-01 2.741330300477188772e-02
1.104410441044104407e-01 -7.197488177993215004e+02 1.997275860375647483e+01 3.375092315823073896e-01 7.557017916308864658e-01 2.741549328990670886e-02
1.105310531053105422e-01 -7.197470151494833317e+02 2.008218991195141001e+01 3.375084004039801688e-01 7.556990786921863323e-01 2.741769253643886253e-02
1.106210621062106297e-01 -7.197452026311473219e+02 2.019203689369129862e+01 3.375075655890959481e-01 7.556963441713125951e-01 2.741990072094055778e-02
1.107110711071107173e-01 -7.197433802068387649e+02 2.030230093003615721e+01 3.375067271377473199e-01 7.556935878713926247e-01 2.742211781910990423e-02
1.108010801080108049e-01 -7.197415478389464170e+02 2.041298355098501460e+01 3.375058850501927443e-01 7.556908095934340430e-01 2.742434380576354649e-02
1.108910891089108924e-01 -7.197397054897230646e+02 2.052408633011119576e+01 3.375050393268598237e-01 7.556880091363062935e-01 2.742657865482628701e-02
1.109810981098109939e-01 -7.197378531212835924e+02 2.063561079439734414e+01 3.375041899683446367e-01 7.556851862967202127e-01 2.742882233932456698e-02
1.110711071107110814e-01 -7.197359906956046416e+02 2.074755847649255358e+01 3.375033369754165125e-01 7.556823408692110444e-01 2.743107483137479166e-02
1.111611161116111690e-01 -7.197341181745205176e+02 2.085993097117341577e+01 3.375024803490170311e-01 7.556794726461142364e-01 2.743333610217682517e-02
1.112511251125112566e-01 -7.197322355197240995e+02 2.097272981724752228e+01 3.375016200902642982e-01 7.556765814175518958e-01 2.743560612200449111e-02
1.113411341134113441e-01 -7.197303426927632017e+02 2.108595670927608268e+01 3.375007562004532780e-01 7.556736669714082533e-01 2.743788486019582348e-02
1.114311431143114317e-01 -7.197284396550401198e+02 2.119961324315623941e+01 3.374998886810578469e-01 7.556707290933126764e-01 2.744017228514571832e-02
1.115211521152115193e-01 -7.197265263678107203e+02 2.131370102922014453e+01 3.374990175337331810e-01 7.556677675666181315e-01 2.744246836429618461e-02
1.116111611161116207e-01 -7.197246027921794393e+02 2.142822177620582025e+01 3.374981427603170880e-01 7.556647821723837533e-01 2.744477306412781634e-02
1.117011701170117083e-01 -7.197226688891024651e+02 2.154317718314543839e+01 3.374972643628326163e-01 7.556617726893540832e-01 2.744708635014960971e-02
1.117911791179117958e-01 -7.197207246193823948e+02 2.165856888818727555e+01 3.374963823434896093e-01 7.556587388939380867e-01 2.744940818689223586e-02
1.118811881188118834e-01 -7.197187699436682351e+02 2.177439866436924376e+01 3.374954967046863152e-01 7.556556805601930549e-01 2.745173853789755966e-02
1.119711971197119710e-01 -7.197168048224530139e+02 2.189066820030851090e+01 3.374946074490119408e-01 7.556525974598007345e-01 2.745407736571049348e-02
1.120612061206120724e-01 -7.197148292160712799e+02 2.200737932334654445e+01 3.374937145792481497e-01 7.556494893620495645e-01 2.745642463186964699e-02
1.121512151215121600e-01 -7.197128430846998981e+02 2.212453376702577401e+01 3.374928180983716719e-01 7.556463560338166907e-01 2.745878029689853561e-02
1.122412241224122476e-01 -7.197108463883542981e+02 2.224213336587286705e+01 3.374919180095560800e-01 7.556431972395456498e-01 2.746114432029631014e-02
1.123312331233123351e-01 -7.197088390868874512e+02 2.236017987004949603e+01 3.374910143161732323e-01 7.556400127412277179e-01 2.746351666052968335e-02
1.124212421242124227e-01 -7.197068211399870279e+02 2.247867518088804673e+01 3.374901070217964372e-01 7.556368022983818156e-01 2.746589727502342371e-02
1.125112511251125103e-01 -7.197047925071756254e+02 2.259762113354479496e+01 3.374891961302017296e-01 7.556335656680361890e-01 2.746828612015119256e-02
1.126012601260126117e-01 -7.197027531478079254e+02 2.271701958473059335e+01 3.374882816453702028e-01 7.556303026047085369e-01 2.747068315122690521e-02
1.126912691269126993e-01 -7.197007030210675111e+02 2.283687248585180640e+01 3.374873635714901732e-01 7.556270128603839176e-01 2.747308832249669222e-02
1.127812781278127868e-01 -7.196986420859690270e+02 2.295718164884437229e+01 3.374864419129597337e-01 7.556236961845000932e-01 2.747550158712748838e-02
1.128712871287128744e-01 -7.196965703013511302e+02 2.307794912191187109e+01 3.374855166743874757e-01 7.556203523239224396e-01 2.747792289720158918e-02
1.129612961296129620e-01 -7.196944876258797876e+02 2.319917675426508907e+01 3.374845878605970961e-01 7.556169810229288464e-01 2.748035220370478524e-02
1.130513051305130634e-01 -7.196923940180421368e+02 2.332086661668239813e+01 3.374836554766268981e-01 7.556135820231884015e-01 2.748278945651917715e-02
1.131413141314131510e-01 -7.196902894361480776e+02 2.344302063595374719e+01 3.374827195277341207e-01 7.556101550637424058e-01 2.748523460441317998e-02
1.132313231323132385e-01 -7.196881738383261791e+02 2.356564085931319852e+01 3.374817800193959383e-01 7.556066998809842783e-01 2.748768759503432413e-02
1.133213321332133261e-01 -7.196860471825240211e+02 2.368872929481392475e+01 3.374808369573129574e-01 7.556032162086433468e-01 2.749014837489794846e-02
1.134113411341134137e-01 -7.196839094265029644e+02 2.381228802022538105e+01 3.374798903474098277e-01 7.555997037777599790e-01 2.749261688938080608e-02
1.135013501350135012e-01 -7.196817605278394012e+02 2.393631915986377123e+01 3.374789401958385726e-01 7.555961623166723706e-01 2.749509308271115907e-02
1.135913591359135888e-01 -7.196796004439237322e+02 2.406082466766089922e+01 3.374779865089815312e-01 7.555925915509948965e-01 2.749757689795928606e-02
1.136813681368136902e-01 -7.196774291319517260e+02 2.418580686446599159e+01 3.374770292934516358e-01 7.555889912035969047e-01 2.750006827703093890e-02
1.137713771377137778e-01 -7.196752465489335009e+02 2.431126776058319905e+01 3.374760685560977413e-01 7.555853609945898386e-01 2.750256716065529322e-02
1.138613861386138654e-01 -7.196730526516818145e+02 2.443720949819709176e+01 3.374751043040039034e-01 7.555817006413012571e-01 2.750507348838044860e-02
1.139513951395139529e-01 -7.196708473968155886e+02 2.456363429651377572e+01 3.374741365444942076e-01 7.555780098582615123e-01 2.750758719856052220e-02
1.140414041404140405e-01 -7.196686307407554750e+02 2.469054440637012604e+01 3.374731652851336583e-01 7.555742883571827662e-01 2.751010822834940375e-02
1.141314131413141419e-01 -7.196664026397254474e+02 2.481794188652772348e+01 3.374721905337317862e-01 7.555705358469416710e-01 2.751263651369216870e-02
1.142214221422142295e-01 -7.196641630497443884e+02 2.494582922085074372e+01 3.374712122983437035e-01 7.555667520335582754e-01 2.751517198931587374e-02
1.143114311431143171e-01 -7.196619119266322286e+02 2.507420851757556690e+01 3.374702305872747110e-01 7.555629366201808139e-01 2.751771458872098036e-02
1.144014401440144046e-01 -7.196596492260025570e+02 2.520308205927824474e+01 3.374692454090801874e-01 7.555590893070669445e-01 2.752026424417302122e-02
1.144914491449144922e-01 -7.196573749032619389e+02 2.533245219490587274e+01 3.374682567725704740e-01 7.555552097915637644e-01 2.752282088669372878e-02
1.145814581458145798e-01 -7.196550889136091200e+02 2.546232125942336211e+01 3.374672646868119297e-01 7.555512977680918230e-01 2.752538444605374945e-02
1.146714671467146812e-01 -7.196527912120317296e+02 2.559269155176124855e+01 3.374662691611303722e-01 7.555473529281262479e-01 2.752795485076311999e-02
1.147614761476147688e-01 -7.196504817533049163e+02 2.572356547649830105e+01 3.374652702051125774e-01 7.555433749601793147e-01 2.753053202806384978e-02
1.148514851485148563e-01 -7.196481604919899837e+02 2.585494545475110328e+01 3.374642678286105535e-01 7.555393635497835714e-01 2.753311590392011968e-02
1.149414941494149439e-01 -7.196458273824310936e+02 2.598683387995694716e+01 3.374632620417425954e-01 7.555353183794717431e-01 2.753570640301194333e-02
1.150315031503150315e-01 -7.196434823787560617e+02 2.611923311806069847e+01 3.374622528548975042e-01 7.555312391287655194e-01 2.753830344872561578e-02
1.151215121512151329e-01 -7.196411254348695365e+02 2.625214576243921627e+01 3.374612402787348642e-01 7.555271254741490194e-01 2.754090696314698619e-02
1.152115211521152205e-01 -7.196387565044569783e+02 2.638557418042191571e+01 3.374602243241907606e-01 7.555229770890621310e-01 2.754351686705135832e-02
1.153015301530153081e-01 -7.196363755409787473e+02 2.651952088280405206e+01 3.374592050024784462e-01 7.555187936438761964e-01 2.754613307989711712e-02
1.153915391539153956e-01 -7.196339824976682849e+02 2.665398844838348680e+01 3.374581823250912271e-01 7.555145748058801347e-01 2.754875551981783924e-02
1.154815481548154832e-01 -7.196315773275327956e+02 2.678897935317686319e+01 3.374571563038060162e-01 7.555103202392646766e-01 2.755138410361319609e-02
1.155715571557155708e-01 -7.196291599833480177e+02 2.692449625881047837e+01 3.374561269506857197e-01 7.555060296051046009e-01 2.755401874674169929e-02
1.156615661566156583e-01 -7.196267304176598145e+02 2.706054164990272426e+01 3.374550942780824569e-01 7.555017025613439685e-01 2.755665936331351540e-02
1.157515751575157598e-01 -7.196242885827791724e+02 2.719711816557949291e+01 3.374540582986395587e-01 7.554973387627800241e-01 2.755930586608251742e-02
1.158415841584158473e-01 -7.196218344307817461e+02 2.733422842040188883e+01 3.374530190252947870e-01 7.554929378610462098e-01 2.756195816643810387e-02
1.159315931593159349e-01 -7.196193679135047887e+02 2.747187509547356754e+01 3.374519764712834435e-01 7.554884995045973994e-01 2.756461617439840209e-02
1.160216021602160225e-01 -7.196168889825474935e+02 2.761006084276159100e+01 3.374509306501412009e-01 7.554840233386960202e-01 2.756727979860244815e-02
1.161116111611161239e-01 -7.196143975892661047e+02 2.774878840617899201e+01 3.374498815757068226e-01 7.554795090053946227e-01 2.756994894630277609e-02
1.162016201620162115e-01 -7.196118936847745999e+02 2.788806041392364321e+01 3.374488292621248831e-01 7.554749561435233352e-01 2.757262352335917294e-02
1.162916291629162990e-01 -7.196093772199419618e+02 2.802787962467482785e+01 3.374477737238497643e-01 7.554703643886738762e-01 2.757530343422875604e-02
1.163816381638163866e-01 -7.196068481453881986e+02 2.816824885779380949e+01 3.374467149756472106e-01 7.554657333731856772e-01 2.757798858196247940e-02
1.164716471647164742e-01 -7.196043064114855952e+02 2.830917083406200518e+01 3.374456530325982695e-01 7.554610627261314493e-01 2.758067886819577999e-02
1.165616561656165617e-01 -7.196017519683550745e+02 2.845064833492329370e+01 3.374445879101018453e-01 7.554563520733029724e-01 2.758337419314228767e-02
1.166516651665166493e-01 -7.195991847658636971e+02 2.859268426614746872e+01 3.374435196238781964e-01 7.554516010371983281e-01 2.758607445558656016e-02
1.167416741674167507e-01 -7.195966047536243195e+02 2.873528146464453314e+01 3.374424481899714334e-01 7.554468092370091314e-01 2.758877955287867764e-02
1.168316831683168383e-01 -7.195940118809938895e+02 2.887844268190286812e+01 3.374413736247532380e-01 7.554419762886063205e-01 2.759148938092529160e-02
1.169216921692169259e-01 -7.195914060970685568e+02 2.902217088692000502e+01 3.374402959449250838e-01 7.554371018045265007e-01 2.759420383418636699e-02
1.170117011701170134e-01 -7.195887873506848109e+02 2.916646897540931960e+01 3.374392151675220664e-01 7.554321853939609532e-01 2.759692280566534983e-02
